schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,competency_history,competency_history_select_new,PERMISSIVE,{authenticated},SELECT,((user_id = auth.uid()) OR (auth_is_admin() = true) OR (auth_is_org_admin() = true)),null
public,document_categories,Admins can manage document categories,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'org_admin'::text])))))",null
public,document_categories,Authenticated users can view document categories,PERMISSIVE,{authenticated},SELECT,true,null
public,document_review_schedule,Admins can manage review schedules in their org,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM (documents d
     JOIN profiles p ON ((p.id = auth.uid())))
  WHERE ((d.id = document_review_schedule.document_id) AND (d.organization_id = p.organization_id) AND (p.role = ANY (ARRAY['admin'::text, 'org_admin'::text])))))",null
public,document_review_schedule,Admins can view review schedules in their org,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM (documents d
     JOIN profiles p ON ((p.id = auth.uid())))
  WHERE ((d.id = document_review_schedule.document_id) AND (d.organization_id = p.organization_id) AND (p.role = ANY (ARRAY['admin'::text, 'org_admin'::text])))))",null
public,document_revisions,Admins can create revisions in their org,PERMISSIVE,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM (documents d
     JOIN profiles p ON ((p.id = auth.uid())))
  WHERE ((d.id = document_revisions.document_id) AND (d.organization_id = p.organization_id) AND (p.role = ANY (ARRAY['admin'::text, 'org_admin'::text])))))"
public,document_revisions,Admins can update revisions in their org,PERMISSIVE,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM (documents d
     JOIN profiles p ON ((p.id = auth.uid())))
  WHERE ((d.id = document_revisions.document_id) AND (d.organization_id = p.organization_id) AND (p.role = ANY (ARRAY['admin'::text, 'org_admin'::text])))))",null
public,document_revisions,Users can view approved revisions in their org,PERMISSIVE,{authenticated},SELECT,"((EXISTS ( SELECT 1
   FROM documents d
  WHERE ((d.id = document_revisions.document_id) AND (d.organization_id = ( SELECT profiles.organization_id
           FROM profiles
          WHERE (profiles.id = auth.uid())))))) AND ((status = 'approved'::text) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'org_admin'::text])))))))",null
public,documents,Admins can create documents in their org,PERMISSIVE,{authenticated},INSERT,null,"((organization_id = ( SELECT profiles.organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))) AND (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'org_admin'::text]))))))"
public,documents,Admins can delete documents in their org,PERMISSIVE,{authenticated},DELETE,"((organization_id = ( SELECT profiles.organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))) AND (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'org_admin'::text]))))))",null
public,documents,Admins can update documents in their org,PERMISSIVE,{authenticated},UPDATE,"((organization_id = ( SELECT profiles.organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))) AND (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'org_admin'::text]))))))",null
public,documents,Users can view approved documents in their org,PERMISSIVE,{authenticated},SELECT,"((organization_id = ( SELECT profiles.organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))) AND ((status = 'approved'::text) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'org_admin'::text])))))))",null
public,email_reminder_log,Only service role can insert reminder logs,PERMISSIVE,{service_role},INSERT,null,true
